sher,tags
वो  आ  रहे  हैं  वो  आते  हैं  आ  रहे  होंगे | शब-ए-फ़िराक़  ये  कह  कर  गुज़ार  दी  हम  ने,"intezar, judai"
जिस  की  आँखों  में  कटी  थीं  सदियाँ | उस  ने  सदियों  की  जुदाई  दी  है,"intezar, judai"
वो  चाँद  कह  के  गया  था  कि  आज  निकलेगा | तो  इंतिज़ार  में  बैठा  हुआ  हूँ  शाम  से  मैं,"intezar, husn"
मैं  ने  समझा  था  कि  लौट  आते  हैं  जाने  वाले | तू  ने  जा  कर  तो  जुदाई  मिरी  क़िस्मत  कर  दी,"intezar, judai"
ऐ  मोहब्बत  तिरे  अंजाम  पे  रोना  आया | जाने  क्यूँ  आज  तिरे  नाम  पे  रोना  आया,"sad, ishq"
हम  तो  समझे  थे  कि  हम  भूल  गए  हैं  उन  को | क्या  हुआ  आज  ये  किस  बात  पे  रोना  आया,"sad, ishq"
तेरा  मिलना  ख़ुशी  की  बात  सही | तुझ  से  मिल  कर  उदास  रहता  हूँ,"sad, ishq"
ख़ुदा  की  इतनी  बड़ी  काएनात  में  मैं  ने | बस  एक  शख़्स  को  माँगा  मुझे  वही  न  मिला,"sad, ishq"
शाम  भी  थी  धुआँ  धुआँ  हुस्न  भी  था  उदास  उदास | दिल  को  कई  कहानियाँ  याद  सी  आ  के  रह  गईं,"sad, husn"
जुदाइयों  के  ज़ख़्म  दर्द-ए-ज़िंदगी  ने  भर  दिए | तुझे  भी  नींद  आ  गई  मुझे  भी  सब्र  आ  गया,"sad, judai"
उजाले  अपनी  यादों  के  हमारे  साथ  रहने  दो | न  जाने  किस  गली  में  ज़िंदगी  की  शाम  हो  जाए,"romantic, ishq"
न  जी  भर  के  देखा  न  कुछ  बात  की | बड़ी  आरज़ू  थी  मुलाक़ात  की,"romantic, ishq"
अज़ीज़  इतना  ही  रक्खो  कि  जी  सँभल  जाए | अब  इस  क़दर  भी  न  चाहो  कि  दम  निकल  जाए,"romantic, ishq"
वो  तो  ख़ुश-बू  है  हवाओं  में  बिखर  जाएगा | मसअला  फूल  का  है  फूल  किधर  जाएगा,"romantic, ishq"
दिल  में  किसी  के  राह  किए  जा  रहा  हूँ  मैं | कितना  हसीं  गुनाह  किए  जा  रहा  हूँ  मैं,"romantic, ishq"
दिल  धड़कने  का  सबब  याद  आया | वो  तिरी  याद  थी  अब  याद  आया,"romantic, ishq"
हमें  भी  नींद  आ  जाएगी  हम  भी  सो  ही  जाएँगे | अभी  कुछ  बे-क़रारी  है  सितारो  तुम  तो  सो  जाओ,"romantic, ishq"
मैं  तो  ग़ज़ल  सुना  के  अकेला  खड़ा  रहा | सब  अपने  अपने  चाहने  वालों  में  खो  गए,"romantic, ishq"
इतनी  मिलती  है  मिरी  ग़ज़लों  से  सूरत  तेरी | लोग  तुझ  को  मिरा  महबूब  समझते  होंगे,"romantic, ishq"
तुम  से  बिछड़  कर  ज़िंदा  हैं | जान  बहुत  शर्मिंदा  हैं,"romantic, judai, ishq"
हुआ  है  तुझ  से  बिछड़ने  के  बा'द  ये  मा'लूम | कि  तू  नहीं  था  तिरे  साथ  एक  दुनिया  थी,"judai, ishq"
किस  किस  को  बताएँगे  जुदाई  का  सबब  हम | तू  मुझ  से  ख़फ़ा  है  तो  ज़माने  के  लिए  आ,"judai, ishq"
आप  के  बा'द  हर  घड़ी  हम  ने | आप  के  साथ  ही  गुज़ारी  है,"judai, ishq"
अब  जुदाई  के  सफ़र  को  मिरे  आसान  करो | तुम  मुझे  ख़्वाब  में  आ  कर  न  परेशान  करो,"judai, ishq"
उस  को  जुदा  हुए  भी  ज़माना  बहुत  हुआ | अब  क्या  कहें  ये  क़िस्सा  पुराना  बहुत  हुआ,"judai, ishq"
न  पूछो  हुस्न  की  तारीफ़  हम  से | मोहब्बत  जिस  से  हो  बस  वो  हसीं  है,"ishq, husn"
हम  अम्न  चाहते  हैं  मगर  ज़ुल्म  के  ख़िलाफ़ | गर  जंग  लाज़मी  है  तो  फिर  जंग  ही  सही,"deshbhakti, peace"
