गुज़रे जो अपने यारों की सोहबत में चार दिन | ऐसा लगा बसर हुए जन्नत में चार दिन 
उम्र-ए-ख़िज़र की उस को तमन्ना कभी न हो | इंसान जी सके जो मोहब्बत में चार दिन 
जब तक जिए निभाएँगे हम उन से दोस्ती | अपने रहे जो दोस्त मुसीबत में चार दिन 
ऐ जान-ए-आरज़ू वो क़यामत से कम न थे | काटे तिरे बग़ैर जो ग़ुर्बत में चार दिन 
फिर उम्र भर कभी न सुकूँ पा सका ये दिल | कटने थे जो भी कट गए राहत में चार दिन 
जो फ़क़्र में सुरूर है शाही में वो कहाँ | हम भी रहे हैं नश्शा-ए-दौलत में चार दिन 
उस आग ने जला के ये दिल राख कर दिया | उठते थे 'जोश' शोले जो वहशत में चार दिन 
ज़ख़्म खाते हैं और मुस्कुराते हैं हम | हौसला अपना ख़ुद आज़माते हैं हम 
आ लगा है किनारे सफ़ीना मगर | शोर तो आदतन ही मचाते हैं हम 
हम जो डूबें तो कोई न फिर बच सके | ऐसा सागर में तूफ़ाँ उठाते हैं हम 
चूर कर भी चुके दिल के शीशे को वो | अपनी हिम्मत है फिर चोट खाते हैं हम 
बे-रुख़ी से जो दिल तोड़ देते हैं 'जोश' | उन के ही प्यार के गीत गाते हैं हम 
चाँदनी-रात में अंधेरा था | इस तरह बेबसी ने घेरा था 
मेरे घर में बसी थी तारीकी | घर से बाहर मगर सवेरा था 
वो किसी और का हुआ है आज | वो जो कल तक तो सिर्फ़ मेरा था 
उड़ गए आस के सभी पंछी | जिन का दिल में मिरे बसेरा था 
बस वहीं 'जोश' का मज़ार है आज | कल जहाँ बेवफ़ा का डेरा था 
इतना एहसान तो हम पर वो ख़ुदारा करते | अपने हाथों से जिगर चाक हमारा करते 
हम को तो दर्द-ए-जुदाई से ही मर जाना था | चंद रोज़ और न क़ातिल को इशारा करते 
ले के जाते न अगर साथ वो यादें अपनी | याद करते उन्हें और वक़्त गुज़ारा करते 
ज़िंदगी मिलती जो सौ बार हमें दुनिया में | हम तो हर बात इसे आप पे वारा करते 
'जोश' धुँदलाता न हरगिज़ ये मिरा शीशा-ए-दिल | गर्द उस की वो अगर रोज़ उतारा करते 
आह भी हर्फ़-ए-दुआ हो जैसे | इक दुखी दिल की सदा हो जैसे 
वो है ख़ामोश तो यूँ लगता है | हम से रब रूठ गया हो जैसे 
नाम लिख लिख के मिटाता है मिरा | ये भी इक नक़्श-ए-वफ़ा हो जैसे 
दिल के आईने में है इक चेहरा | कोई शय ढूँड रहा हो जैसे 
ज़िंदगी ऊँघ रही है ऐ 'जोश' | किसी मुफ़्लिस का दिया हो जैसे 
हर मुलाक़ात में लगते हैं वो बेगाने से | फ़ाएदा क्या है भला ऐसों के याराने से 
कुछ जो समझा तो मुझे सब ने ही आशिक़ समझा | बात ये ख़ूब निकाली मिरे अफ़्साने से 
ज़िंदगी अपनी नज़र आने लगी सिर्फ़ सराब | कभी गुज़रे जो दिल-ए-ज़ार के वीराने से 
एक पल भी न ठहर पाओगे ऐ संग-ज़नो | कोई पत्थर कभी लौट आया जो दीवाने से 
तुम को मरना है तो मरना मिरे गुल होने पर | शम्अ' कहती रही शब-भर यही परवाने से 
फिर न देखा तुझे ऐ 'जोश' सुकूँ से बैठा | जब से उट्ठा है तू इस शोख़ के काशाने से 
जब कभी ज़िक्र यार का आया | एक झोंका बहार का आया 
इश्क़ कच्चे घड़े पे डूब गया | लम्हा जब इंतिज़ार का आया 
आ गए दिल में वसवसे कितने | वक़्त जब ए'तिबार का आया 
पास तीर-ओ-कमाँ न थे अपने | जब भी मौसम शिकार का आया 
हम ने ठुकरा दिया जहाँ को 'जोश' | मरहला जब वक़ार का आया 
न सोचना कि ज़माने से डर गए हम भी | तिरी तलाश में ग़ैरों के घर गए हम भी 
चुरा लीं हम से भी उस ख़ुद-परस्त ने आँखें | दिल-ए-हबीब से आख़िर अगर गए हम भी 
पसीजा दिल न किसी का हमारे अश्कों से | हर आस्ताँ पे लिए चश्म-ए-तर गए हम भी 
